Key,Source,Context,Max Line Width,English,Francais,German
adobeGroupDesc,blocks,Block,,In desert regions adobe is easy to make and it requires no special tools.,,
adobePeachBlock,blocks,Block,,Adobe Peach Block,,
adobePeachCNRFull,blocks,Block,,Adobe Peach Full Corner,,
adobePeachCNRInside,blocks,Block,,Adobe Peach Inside Corner,,
adobePeachCNRRamp,blocks,Block,,Adobe Peach Ramp Corner,,
adobePeachPillar100,blocks,Block,,Adobe Peach Pillar 100,,
adobePeachPillar50,blocks,Block,,Adobe Peach Pillar 50,,
adobePeachPlate,blocks,Block,,Adobe Peach Plate,,
adobePeachPole,blocks,Block,,Adobe Peach Pole,,
adobePeachRamp,blocks,Block,,Adobe Peach Ramp,,
adobePeachWedge,blocks,Block,,Adobe Peach Wedge,,
adobePeachWedgeTip,blocks,Block,,Adobe Peach Wedge Tip,,
adobeWhiteBlock,blocks,Block,,Adobe White Block,,
adobeWhiteCNRFull,blocks,Block,,Adobe White Full Corner,,
adobeWhiteCNRInside,blocks,Block,,Adobe White Inside Corner,,
adobeWhiteCNRRamp,blocks,Block,,Adobe White Ramp Corner,,
adobeWhitePillar100,blocks,Block,,Adobe White Pillar 100,,
adobeWhitePillar50,blocks,Block,,Adobe White Pillar 50,,
adobeWhitePlate,blocks,Block,,Adobe White Plate,,
adobeWhitePole,blocks,Block,,Adobe White Pole,,
adobeWhiteRamp,blocks,Block,,Adobe White Ramp,,
adobeWhiteWedge,blocks,Block,,Adobe White Wedge,,
adobeWhiteWedgeTip,blocks,Block,,Adobe White Wedge Tip,,
alphabetLetterSignGroupDesc,blocks,Block,,Create your own billboards with these single letter signs.,,
awningRedBlock,blocks,Block,,Awning Red,,
awningRedRamp,blocks,Block,,Awning Red Ramp,,
awningTanBlock,blocks,Block,,Awning Tan Block,,
awningTanRamp,blocks,Block,,Awning Tan Ramp,,
barbedFence,blocks,Block,,Barbed Wire Fence,,
barbedFenceDesc,blocks,Block,,"Barbed wire fences made from wood and forged iron can slow down enemies, making them easier to deal with. Place them by using the secondary action.",,
barnWoodBlock,blocks,Block,,Barnwood,,
bed01,blocks,Block,,An Old Bed,,
bedGroupDesc,blocks,Block,,Placing it on the ground will let you spawn there when you die and then show the spot on your map.,,
bed01Frame,blocks,Block,,Iron Bed Frame,,
bed02,blocks,Block,,King Size Bed,,
bedroll,blocks,Block,,Bedroll,,
bedRoll01_1,blocks,Block,,Bedroll,,
boardedWindowsSheet4,blocks,Block,,Window Boards,,
brickBlock,blocks,Block,,Bricks,,
brickDecayedBlock,blocks,Block,,Decayed Brick,,
brickGroupDesc,blocks,Block,,Brick walls offer decent protection and can be upgraded to concrete later.,,
brickPaversBlock,blocks,Block,,Brick Pavers,,
brickPaversStairs25,blocks,Block,,Brick Pavers Stairs,,
brickRamp,blocks,Block,,Brick Ramp,,
brickCNRFull,blocks,Block,,Brick Full Corner,,
brickCNRInside,blocks,Block,,Brick Inside Corner,,
brickCNRRamp,blocks,Block,,Brick Ramp Corner,,
brickPlate,blocks,Block,,Brick Plate,,
brownGrassDiagonal,blocks,Block,,Grass,,
burningBarrel,blocks,Block,,Burning Barrel,,
cabinFlagstoneRamp,blocks,Block,,Flagstone Cabin Ramp,,
camoNetBlock,blocks,Block,,Camo Netting Block,,
camoNetCNRFull,blocks,Block,,Camo Netting Corner,,
camoNetRamp,blocks,Block,,Camo Netting Ramp,,
camoNetSheet,blocks,Block,,Camo Netting,,
candleWall,blocks,Block,,Candle,,
candleTable,blocks,Block,,Candle,,
chair01,blocks,Block,,Old Chair,,
clayRoofGroupDesc,blocks,Block,,A clay roof will protect you from the rain or snow.,,
clayRoofBlock,blocks,Block,,Clay Roof Block,,
clayRoofRamp,blocks,Block,,Clay Roof Ramp,,
clayRoofCNRFull,blocks,Block,,Clay Roof Full Corner,,
clayRoofCNRInside,blocks,Block,,Clay Roof Inside Corner,,
coalOre,blocks,Block,,Coal Ore,,
cobblestoneStairs25,blocks,Block,,Cobblestone Stairs,,
cobblestoneStairs25Desc,blocks,Block,,Can be upgraded to concrete.,,
cobweb,blocks,Block,,Cobweb,,
cobwebDesc,blocks,Block,,A cobweb made by a spider. If this was Marvel it might mean something.,,
commercialDoor1_v1,blocks,Block,,Commercial Door 1,,
commercialDoor2_v1,blocks,Block,,Commercial Door 2,,
commercialDoor3_v1,blocks,Block,,Commercial Door 3,,
commercialDoor4_v1,blocks,Block,,Commercial Door 4,,
concreteBlock,blocks,Block,,Concrete Block,,
concreteCNRFull,blocks,Block,,Concrete Full Corner,,
concreteCNRInside,blocks,Block,,Concrete Inside Corner,,
concreteCNRRamp,blocks,Block,,Concrete Ramp Corner,,
concreteCTRPlate,blocks,Block,,Concrete Plate Centered,,
concreteEighth,blocks,Block,,1/8 Concrete Block,,
concreteGroupDesc,blocks,Block,,"Concrete provides good protection and is a very flexible building material, allowing you to craft many shapes as you go. Can be upgraded.",,
concreteHalf,blocks,Block,,1/2 Concrete Block,,
concretePillar100,blocks,Block,,Concrete Pillar 100,,
concretePillar50,blocks,Block,,Concrete Pillar 50,,
concretePlate,blocks,Block,,Concrete Plate,,
concretePole,blocks,Block,,Concrete Pole,,
concretePyramid,blocks,Block,,Concrete Pyramid,,
concreteQuarter,blocks,Block,,1/4 Concrete Block,,
concreteRamp,blocks,Block,,Concrete Ramp,,
concreteStairs25,blocks,Block,,Concrete Stairs,,
concreteTrim2Block,blocks,Block,,Concrete Trim 2 Block,,
concreteWedge,blocks,Block,,Concrete Wedge,,
concreteWedgeTip,blocks,Block,,Concrete Wedge Tip,,
cookingPot,blocks,Block,,Cooking Pot,,
cookingPotDesc,blocks,Block,,A cooking utensil used in the campfire to unlock recipes.,,
desertGround,blocks,Block Terrain,,Desert Ground,,
desertGroundDesc,blocks,Block Terrain,,Replace missing pieces of terrain in the proper shade of sand.,,
endTable,blocks,Block,,End Table,,
endTableLamp,blocks,Block,,End Table Lamp,,
faucet02,blocks,Block,,Household Faucet,,
faucet04,blocks,Block,,Household Faucet,,
faucetBrass02,blocks,Block,,Brass Faucet,,
faucetBrass04,blocks,Block,,Brass Faucet,,
fencesGroupDesc,blocks,Block,,Fences and railings can keep the neighbors out. Unless they have turned into zombies. Still useful for not falling from high places.,,
flagstoneBlock,blocks,Block,,Flagstone Block,,
flagstoneStairs25,blocks,Block,,Flagstone Stairs,,
